id,award_id,base_date,start_date,end_date,amount,outlays,recipient,recipient_uei,award_type,assistance_listing,awarding_agency,awarding_subagency,funding_agency,funding_subagency,description,last_modified
ASST_NON_SBR25018GR0037_019,SBR25018GR0037,2018-09-11,2018-09-28,2019-12-31,52370.65,0.0,ASSOCIAÇAO PARA O INTERCÂMBIO EDUCACIONAL ENTRE OS ESTADOS UNIDOS DA AMÉRICA E O BRASIL.,E7KMEMZN9137,PROJECT GRANT (B),19.040,Department of State,Department of State,,,TO FUND A U.S.-BRAZIL STUDIES ACADEMIC SYMPOSIUM WITH SCHOLARS AND RESEARCHERS,2018-09-21 18:51:58.329762+00
ASST_NON_SBR81018IN0001_019,SBR81018IN0001,2018-09-11,2018-10-01,2019-05-31,5000.0,0.0,REDACTED DUE TO PII,,PROJECT GRANT (B),19.040,Department of State,Department of State,,,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-21 18:51:39.612972+00
ASST_NON_SCA52518GR0037_019,SCA52518GR0037,2018-09-11,2018-09-13,2019-09-13,62000.0,0.0,FOUNDATION FOR EDUCATIONAL EXCHANGE BETWEEN CANADA AND THE UNITED STATES OF AMERICA,GT3NCQA68L25,PROJECT GRANT (B),19.040,Department of State,Department of State,,,ONE-YEAR SALARY AND BENEFITS FOR THE EDUCATION USA ADVISOR POSITION AT FULBRIGHT CANADA.,2018-09-21 18:51:58.191658+00
ASST_NON_SCA52518GR0038_019,SCA52518GR0038,2018-09-11,2018-09-12,2019-02-08,15000.0,0.0,"ROCKY VIEW SCHOOL DIVISION NO. 41, THE",NTHHRVFGUB35,PROJECT GRANT (B),19.040,Department of State,Department of State,,,U.S. EXPERT TO WORK WITH LOCAL ORGANIZATIONS ON IDENTIFYING AND RESPONDING TO STUDENT THREATS OF VIOLENCE.,2018-09-21 18:51:58.187371+00
ASST_NON_SCA52518GR0045_019,SCA52518GR0045,2018-09-11,2018-09-12,2019-02-25,10459.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,TO COVER TRAVEL COSTS FOR UP TO 3 U.S. AUTHORS TO PARTICIPATE IN THE TOK OTTAWA SYMPHONY.,2018-09-21 18:51:58.183483+00
ASST_NON_SCH50018IN0024_019,SCH50018IN0024,2018-09-11,2018-09-15,2018-09-30,750.0,0.0,INDIVIDUAL RECIPIENT,,PROJECT GRANT (B),19.040,Department of State,Department of State,Department of State,Department of State,DESCRIPTION MASKED FOR PII PURPOSES,2020-07-20 20:07:18.646537+00
ASST_NON_SCI80018GR0054_019,SCI80018GR0054,2018-09-11,2018-09-11,2018-11-30,15000.0,0.0,FUNDACION ELIC ESCUELAS LIBRES DE INVESTIGACION CIENTIFICA PARA NIÑOS DELEGACION,J5XHRC9TEKD5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,"FUNDS WILL BE USED TO BRING EXPERTS AND SUPPORT THE CONFERENCE WITH EQUIPMENT, MATERIALS AND SCHOLARSHIPS.",2018-09-21 18:51:57.892678+00
ASST_NON_SCM80018IN0024_019,SCM80018IN0024,2018-09-11,2018-09-21,2019-05-21,6329.0,0.0,REDACTED DUE TO PII,,PROJECT GRANT (B),19.040,Department of State,Department of State,,,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-21 18:51:39.60945+00
ASST_NON_SCO20018GR0058_019,SCO20018GR0058,2018-09-11,2018-09-11,2019-12-15,19129.0,0.0,LA FEDERACION COLOMBIANA DE ASOCIACIONES CRISTIANAS DE JOVENES ACJ YMCA,KZT4RESMM733,PROJECT GRANT (B),19.040,Department of State,Department of State,Department of State,Department of State,TO SUPPORT A LEADERSHIP PROGRAM FOR 120 ALUMNI OF THE ENGLISH FOR GIRLS PROGRAM,2019-08-15 18:15:04.680728+00
ASST_NON_SCS80018GR0016_019,SCS80018GR0016,2018-09-11,2018-09-17,2019-09-27,10000.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,"LORNA PERAZA. GENIUS LAB, WILL WORK WITH THE PAS OF THE U.S. EMBASSY TO PROMOTE STEAM PROGRAMS IN GUANACASTE FOR 40 GIRLS",2018-09-21 18:51:52.877381+00
ASST_NON_SCS80018GR0018_019,SCS80018GR0018,2018-09-11,2019-07-01,2020-06-30,8615.14,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,CCCN WILL WORK WITH THE PA SECTION OF THE U.S. EMBASSY TO PROMOTE EDUSA ADVISING ACTIVITIES IN COSTA RICA,2018-09-21 18:51:52.873345+00
ASST_NON_SDR86018GR0012_019,SDR86018GR0012,2018-09-11,2018-09-13,2019-12-31,149790.0,0.0,INSTITUTO CULTURAL DOMINICO-AMERICANO,Y7MGHJ238235,PROJECT GRANT (B),19.040,Department of State,Department of State,,,TO PROVIDE ENGLISH TEACHERS WITH ACCESS TO AMERICAN ENGLISH TEACHING RESOURCES AND TRAINING ON HOW TO SUCCESSFULLY INTEGRATE THEM IN THE D.R.,2018-09-21 18:51:52.711689+00
ASST_NON_SDR86018GR0013_019,SDR86018GR0013,2018-09-11,2018-09-11,2019-04-30,105000.0,0.0,"ACCION EMPRESARIAL POR LA EDUCACION, EDUCA, INC..",K5YSUDXDBEL3,PROJECT GRANT (B),19.040,Department of State,Department of State,,,THIS PROJECT WILL COMBINE EXPERTISE FROM BOTH THE USA AND THE DOMINICAN REPUBLIC IN THE AREA OF ENGLISH LANGUAGE TEACHING.,2018-09-21 18:51:52.707136+00
ASST_NON_SECAGD18CA0013_019,SECAGD18CA0013,2018-09-11,2018-09-11,2020-12-30,383975.04,0.0,UNIVERSITY OF OKLAHOMA,EVTSTTLCEWS5,COOPERATIVE AGREEMENT (B),19.415,Department of State,Department of State,,,FY-2018 PROFESSIONAL FELLOWS PROGRAM ARE TO PROMOTE MUTUAL UNDERSTANDING AND LASTING PARTNERSHIP.,2018-10-05 22:46:48.358502+00
